,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_classify__alpha,param_classify__learning_rate,param_classify__learning_rate_init,param_classify__solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.406086540222168,0.015168190002441406,0.703,0.7063003477281466,0.1,adaptive,0.1,adam,"{'classify__solver': 'adam', 'classify__alpha': 0.10000000000000001, 'classify__learning_rate_init': 0.10000000000000001, 'classify__learning_rate': 'adaptive'}",34,0.7182817182817183,0.7054263565891473,0.6963036963036963,0.7071767941985496,0.723,0.71325,0.6966966966966966,0.6985753561609598,0.6806806806806807,0.707073231692077,0.7229857738356592,0.004849985652994183,0.015594842301193897,0.004692601196799431
1,9.156060123443604,0.019090604782104493,0.7114,0.7192504109750256,0.1,adaptive,0.1,sgd,"{'classify__solver': 'sgd', 'classify__alpha': 0.10000000000000001, 'classify__learning_rate_init': 0.10000000000000001, 'classify__learning_rate': 'adaptive'}",10,0.7182817182817183,0.719679919979995,0.7162837162837162,0.7234308577144286,0.725,0.71825,0.7057057057057057,0.7155711072231942,0.6916916916916916,0.7193201699575106,1.2498851905138555,0.004685729254797614,0.011633241177432042,0.0025378564758143764
2,2.2059628486633303,0.01470804214477539,0.7034,0.7151512732094546,0.1,adaptive,0.01,adam,"{'classify__solver': 'adam', 'classify__alpha': 0.10000000000000001, 'classify__learning_rate_init': 0.01, 'classify__learning_rate': 'adaptive'}",32,0.7152847152847153,0.7181795448862216,0.7142857142857143,0.7229307326831708,0.72,0.719,0.6726726726726727,0.7008247938015496,0.6946946946946947,0.7148212946763309,1.063112101954755,0.0043028763437019685,0.017632334004867356,0.007613934791120966
3,10.885001230239869,0.016421413421630858,0.7156,0.7178495483905968,0.1,adaptive,0.01,sgd,"{'classify__solver': 'sgd', 'classify__alpha': 0.10000000000000001, 'classify__learning_rate_init': 0.01, 'classify__learning_rate': 'adaptive'}",1,0.7312687312687313,0.7154288572143036,0.7142857142857143,0.7156789197299325,0.732,0.718,0.7037037037037037,0.7198200449887528,0.6966966966966966,0.720319920019995,1.2322885589118946,0.005291117453432594,0.014246414339065169,0.0020287731795808656
4,7.359519147872925,0.01376347541809082,0.7136,0.7185501859250116,0.1,adaptive,0.001,adam,"{'classify__solver': 'adam', 'classify__alpha': 0.10000000000000001, 'classify__learning_rate_init': 0.001, 'classify__learning_rate': 'adaptive'}",5,0.7212787212787213,0.7181795448862216,0.7132867132867133,0.7206801700425106,0.729,0.71875,0.7117117117117117,0.7140714821294676,0.6926926926926927,0.7210697325668582,2.074784098438134,0.00232009388278021,0.012136889389958353,0.0024948360969674122
5,31.764468145370483,0.01586766242980957,0.7096,0.7117997980968624,0.1,adaptive,0.001,sgd,"{'classify__solver': 'sgd', 'classify__alpha': 0.10000000000000001, 'classify__learning_rate_init': 0.001, 'classify__learning_rate': 'adaptive'}",20,0.7202797202797203,0.7074268567141786,0.7072927072927073,0.7144286071517879,0.727,0.71125,0.6986986986986987,0.7115721069732567,0.6946946946946947,0.7143214196450888,2.7023584718390103,0.004830414609331997,0.012352529252949732,0.0025591385195494493
6,24.704094791412352,0.014896011352539063,0.711,0.716299648309353,0.1,adaptive,0.0001,adam,"{'classify__solver': 'adam', 'classify__alpha': 0.10000000000000001, 'classify__learning_rate_init': 0.0001, 'classify__learning_rate': 'adaptive'}",12,0.7322677322677322,0.7129282320580145,0.7122877122877123,0.7159289822455613,0.723,0.71675,0.6936936936936937,0.7140714821294676,0.6936936936936937,0.7218195451137216,6.111438920813814,0.002873939051343525,0.015471561478054303,0.0030705257781679252
7,34.9045485496521,0.017098283767700194,0.6486,0.6455505573250349,0.1,adaptive,0.0001,sgd,"{'classify__solver': 'sgd', 'classify__alpha': 0.10000000000000001, 'classify__learning_rate_init': 0.0001, 'classify__learning_rate': 'adaptive'}",48,0.6433566433566433,0.6424106026506626,0.6683316683316683,0.6561640410102526,0.641,0.64175,0.6336336336336337,0.6393401649587603,0.6566566566566566,0.6480879780054987,0.653253371888316,0.00473475784253814,0.012358165660172154,0.006032529557774208
8,37.46804614067078,0.0175140380859375,0.6414,0.6459503571625224,0.1,adaptive,1e-05,adam,"{'classify__solver': 'adam', 'classify__alpha': 0.10000000000000001, 'classify__learning_rate_init': 1.0000000000000001e-05, 'classify__learning_rate': 'adaptive'}",51,0.6433566433566433,0.6436609152288072,0.6413586413586414,0.6464116029007252,0.645,0.65675,0.6446446446446447,0.6473381654586353,0.6326326326326326,0.6355911022244439,0.94965430073504,0.002047001203333638,0.00456291680618987,0.006801863746868309
9,33.33016085624695,0.013801860809326171,0.5606,0.568451203462575,0.1,adaptive,1e-05,sgd,"{'classify__solver': 'sgd', 'classify__alpha': 0.10000000000000001, 'classify__learning_rate_init': 1.0000000000000001e-05, 'classify__learning_rate': 'adaptive'}",60,0.6053946053946054,0.5921480370092523,0.5484515484515484,0.5583895973993498,0.544,0.56525,0.5735735735735735,0.5738565358660335,0.5315315315315315,0.5526118470382404,7.321829664769499,0.0019053845688299796,0.026245501976269653,0.013806711198893476
