,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_classifier__n_neighbors,param_classifier__weights,param_reduce_dim__k,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.025940752029418944,0.04917278289794922,0.551,0.6216454183403386,2,uniform,10,"{'classifier__n_neighbors': 2, 'classifier__weights': 'uniform', 'reduce_dim__k': 10}",29,0.5474525474525475,0.5966491622905726,0.5174825174825175,0.5911477869467366,0.566,0.641,0.5745745745745746,0.6608347913021745,0.5495495495495496,0.6185953511622094,0.003382398039089684,0.004215139032347123,0.019593103727835296,0.026361441657386468
1,0.024210071563720702,0.08560833930969239,0.5502,0.6857488841749302,2,uniform,15,"{'classifier__n_neighbors': 2, 'classifier__weights': 'uniform', 'reduce_dim__k': 15}",30,0.5474525474525475,0.6664166041510378,0.5834165834165834,0.6894223555888972,0.556,0.69475,0.5225225225225225,0.6865783554111472,0.5415415415415415,0.6915771057235691,0.0001700419357939966,0.002218647633157443,0.019928930979916867,0.010029035030345395
2,0.026915931701660158,0.13727641105651855,0.5532,0.7349487118624195,2,uniform,20,"{'classifier__n_neighbors': 2, 'classifier__weights': 'uniform', 'reduce_dim__k': 20}",28,0.5694305694305695,0.7291822955738935,0.5554445554445554,0.7324331082770693,0.56,0.72575,0.5355355355355356,0.7453136715821045,0.5455455455455456,0.7420644838790302,0.0020437836282337883,0.0038533121122358185,0.011706675330180098,0.007513490793527264
3,0.02352032661437988,0.04916372299194336,0.5568,0.638145056618441,2,distance,10,"{'classifier__n_neighbors': 2, 'classifier__weights': 'distance', 'reduce_dim__k': 10}",27,0.5484515484515484,0.6094023505876469,0.5214785214785215,0.6059014753688422,0.578,0.66125,0.5815815815815816,0.6818295426143464,0.5545545545545546,0.6323419145213697,0.0002858168688216562,0.003968949638169885,0.021847702093403015,0.02946740865893174
4,0.024297380447387697,0.08574228286743164,0.566,0.747298737237421,2,distance,15,"{'classifier__n_neighbors': 2, 'classifier__weights': 'distance', 'reduce_dim__k': 15}",26,0.5584415584415584,0.730182545636409,0.5974025974025974,0.746686671667917,0.567,0.7575,0.5405405405405406,0.7478130467383154,0.5665665665665666,0.7543114221444639,0.0004663176956571046,0.0017854014123964953,0.01840191829213999,0.009453535476246774
5,0.026334810256958007,0.1367349147796631,0.5684,0.8543489555905597,2,distance,20,"{'classifier__n_neighbors': 2, 'classifier__weights': 'distance', 'reduce_dim__k': 20}",25,0.5994005994005994,0.8584646161540385,0.5484515484515484,0.8547136784196049,0.591,0.8245,0.5525525525525525,0.8795301174706324,0.5505505505505506,0.8545363659085229,0.0019251568777401665,0.0030460286804706795,0.02209195125864419,0.01756222008016475
6,0.02348494529724121,0.05172362327575684,0.6292,0.6674458456153654,3,uniform,10,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform', 'reduce_dim__k': 10}",10,0.6293706293706294,0.6399099774943736,0.5934065934065934,0.6431607901975493,0.65,0.688,0.6276276276276276,0.6883279180204949,0.6456456456456456,0.6778305423644089,0.00034801328781648586,0.0038728317452687774,0.01993879109162314,0.021514479249069
7,0.024097967147827148,0.09268422126770019,0.631,0.7306489364624336,3,uniform,15,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform', 'reduce_dim__k': 15}",9,0.6333666333666333,0.7216804201050263,0.6533466533466533,0.7261815453863466,0.631,0.73625,0.6096096096096096,0.7350662334416396,0.6276276276276276,0.7340664833791553,0.00015633631092817584,0.0014817242212043845,0.013956587103813135,0.005708868906572215
8,0.026576948165893555,0.14665427207946777,0.6214,0.769299376196836,3,uniform,20,"{'classifier__n_neighbors': 3, 'classifier__weights': 'uniform', 'reduce_dim__k': 20}",14,0.6403596403596403,0.7749437359339835,0.6263736263736264,0.7666916729182296,0.617,0.75075,0.6036036036036037,0.775806048487878,0.6196196196196196,0.778305423644089,0.001560954724701252,0.0035286707631554293,0.012029220459453897,0.010061649421923988
9,0.02417616844177246,0.05205988883972168,0.6282,0.6809459337434959,3,distance,10,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance', 'reduce_dim__k': 10}",11,0.6293706293706294,0.6529132283070768,0.5954045954045954,0.6561640410102526,0.653,0.70525,0.6266266266266266,0.7043239190202449,0.6366366366366366,0.686078480379905,0.0006944012297727986,0.0038011674556811476,0.01879683235975962,0.022643037113878398
10,0.025218391418457033,0.09277806282043458,0.623,0.7808494138937132,3,distance,15,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance', 'reduce_dim__k': 15}",13,0.6223776223776224,0.7721930482620655,0.6463536463536463,0.7776944236059015,0.625,0.79275,0.5995995995995996,0.7815546113471632,0.6216216216216216,0.7800549862534366,6.681330911599842e-05,0.0016504568499093682,0.014827374138768584,0.00674742911132961
11,0.02821040153503418,0.14927916526794432,0.6186,0.8686994688312168,3,distance,20,"{'classifier__n_neighbors': 3, 'classifier__weights': 'distance', 'reduce_dim__k': 20}",17,0.6383616383616384,0.8757189297324331,0.6163836163836164,0.8722180545136284,0.619,0.837,0.6056056056056056,0.8877780554861284,0.6136136136136137,0.870782304423894,0.0028661838871954365,0.006664864430065445,0.010858312560566297,0.016940131484640606
